Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jaylen Adams,Career,NBA,41.0,1.0,10.9,1.0,2.9,0.331,0.6,1.9,0.32899999999999996,0.3,1.0,0.33299999999999996,0.436,0.2,0.2,0.778,0.3,1.3,1.5,1.6,0.3,0.1,0.7,1.1,2.7
Jordan Adams,Career,NBA,32,0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2
Michael Adams,Career,NBA,653.0,510.0,31.3,5.0,12.0,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.8490000000000001,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7
Steven Adams,Career,NBA,574.0,510.0,26.9,4.0,6.8,0.591,0.0,0.0,0.077,4.0,6.8,0.593,0.591,1.6,2.9,0.551,3.5,4.2,7.7,1.2,0.9,1.0,1.4,2.6,9.6
Rafael Addison,Career,NBA,379,54,15.0,2.4,5.4,.449,0.2,0.6,.282,2.2,4.8,.472,.466,0.7,0.9,.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8
Bam Adebayo,Career,NBA,266,162,26.9,4.5,8.2,0.5539999999999999,0.0,0.2,0.163,4.5,8.0,0.562,0.556,2.9,3.9,0.74,2.1,5.9,8.0,3.3,0.8,0.9,1.9,2.3,12.0
Deng Adel,Career,NBA,19,3,10.2,0.6,1.9,0.306,0.3,1.2,0.261,0.3,0.7,0.385,0.389,0.2,0.2,1.0,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7
Rick Adelman,Career,NBA,462.0,,22.6,3.0,7.2,0.415,,,,,,,,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,,2.1,7.7
Jeff Adrien,Career,NBA,153.0,17.0,14.0,1.7,3.6,0.474,0.0,0.0,0.0,1.7,3.6,0.47600000000000003,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6
Arron Afflalo,Career,NBA,762.0,537.0,27.3,3.9,8.7,0.45,1.1,2.9,0.386,2.8,5.8,0.48100000000000004,0.514,1.8,2.2,0.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8
Maurice Ager,Career,NBA,82,4,6.2,0.8,2.3,.339,0.1,0.5,.250,0.6,1.8,.366,.368,0.4,0.6,.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1
Mark Aguirre,Career,NBA,923.0,639.0,30.0,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4.0,5.4,0.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0
Blake Ahearn,Career,NBA,19,0,11.9,1.1,4.1,.273,0.7,2.5,.298,0.4,1.6,.233,.364,1.7,1.7,.970,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6
Danny Ainge,Career,NBA,1042.0,508.0,26.6,4.5,9.5,0.469,1.0,2.5,0.37799999999999995,3.5,7.0,0.502,0.519,1.6,1.9,0.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5
Matthew Aitch,Career,ABA,45,,14.2,2.2,5.5,0.405,0.0,0.0,0.0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,,,3.6,0.4,,,0.8,1.5,5.6
Alexis Ajinça,Career,NBA,293.0,76.0,13.3,2.2,4.4,0.503,0.0,0.1,0.28600000000000003,2.2,4.2,0.51,0.507,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3
Henry Akin,Career,TOT,88.0,,8.4,1.5,4.2,0.35,0.0,1.0,0.0,1.5,4.2,0.35200000000000004,0.35,0.5,0.8,0.6759999999999999,0.0,2.0,2.1,0.5,,,2.0,1.5,3.5
Josh Akognon,Career,NBA,3,0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
DeVaughn Akoon-Purcell,Career,NBA,7,0,3.1,0.4,1.4,0.3,0.0,0.6,0.0,0.4,0.9,0.5,0.3,0.1,0.3,0.5,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0
Solomon Alabi,Career,NBA,26,0,7.0,0.6,2.0,0.314,0.0,0.0,,0.6,2.0,0.314,0.314,0.3,0.4,0.7,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
Mark Alarie,Career,NBA,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5
Gary Alcorn,Career,NBA,78.0,,10.8,1.3,4.5,0.293,,,,,,,,0.7,1.2,0.598,,,4.2,0.3,,,,2.2,3.3
Furkan Aldemir,Career,NBA,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.5479999999999999,0.513,0.3,0.7,0.48100000000000004,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
Cole Aldrich,Career,NBA,339.0,23.0,10.0,1.3,2.4,0.527,0.0,0.0,,1.3,2.4,0.527,0.527,0.5,0.7,0.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1
LaMarcus Aldridge,Career,NBA,1025.0,981.0,34.2,7.8,16.0,0.491,0.2,0.6,0.318,7.6,15.3,0.498,0.49700000000000005,3.5,4.3,0.8109999999999999,2.6,5.6,8.3,2.0,0.7,1.1,1.6,2.4,19.4
Chuck Aleksinas,Career,NBA,74,4,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
Cliff Alexander,Career,NBA,8,0,4.5,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
Cory Alexander,Career,NBA,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
Courtney Alexander,Career,NBA,187.0,59.0,21.7,3.5,8.3,0.42200000000000004,0.2,0.6,0.33899999999999997,3.3,7.7,0.429,0.435,1.8,2.2,0.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0
Gary Alexander,Career,NBA,11.0,0.0,5.0,0.7,1.3,0.5710000000000001,0.0,0.0,,0.7,1.3,0.5710000000000001,0.5710000000000001,0.3,0.8,0.33299999999999996,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
